task,calibration,updates,contrast,n_paired_seeds,mean,sample_sd,ci95_low,ci95_high,minimum,maximum,positive_seeds,negative_seeds
vision,raw,2048,P2,5,0.17180763193209656,0.010012317958937261,0.15937569718391517,0.18423956668027794,0.15855227798954585,0.1807498598864301,5,0
vision,raw,2048,P4,5,-0.0007746374716563143,0.009275720353929966,-0.01229196549253703,0.010742690549224401,-0.0115500117417775,0.008791785445238842,2,3
vision,raw,2048,I,5,0.17103299446044024,0.004488060718146856,0.16546033104496474,0.17660565787591573,0.16667814310208207,0.17814301919473796,5,0
vision,raw,2048,native_gap,5,0.0785197285778867,0.0051637745727864575,0.07210805559601773,0.08493140155975566,0.0730992325928761,0.08665512965323874,5,0
vision,raw,2048,gap_recovery,5,0.17560065928862434,0.0051637745727864575,0.16918898630675538,0.1820123322704933,0.1674652582132723,0.18102115527363494,5,0
vision,raw,2048,gap_recovery_percent,5,69.10136599542224,2.0320190033311993,66.57828115532,71.62445083552448,65.89996954563185,71.2344085389658,5,0
vision,raw,2048,inference_T2_minus_T4_after_a2,5,0.07929436604954301,0.00556689353792282,0.07238215476167106,0.08620657733741496,0.07061202548589796,0.0846492443346536,5,0
vision,raw,2048,inference_T2_minus_T4_after_a4,5,0.2503273605099833,0.005948472426183476,0.24294135645408346,0.2577133645658831,0.24309032244442497,0.25714448608008666,5,0
vision,raw,2048,gain_a2_e2,5,0.1645427657624893,0.01830611071568942,0.1418127271396856,0.187272804385293,0.14486375037338584,0.18930260795659848,5,0
vision,raw,2048,gain_a2_e4,5,-0.010283256054478728,0.015209520492012721,-0.029168370079353325,0.008601857970395869,-0.03072737295242267,0.005794245575985402,1,4
vision,raw,2048,gain_a4_e2,5,-0.007264866169607265,0.021042284593543882,-0.033392313389368426,0.018862581050153898,-0.03272443588427265,0.02561609644331031,1,4
vision,raw,2048,gain_a4_e4,5,-0.011057893526135043,0.018124792277949733,-0.03356279557258682,0.01144700852031673,-0.03299573127147748,0.014586031021224244,1,4
language,raw,final_minus_early,P2,3,-0.0012695441673612844,0.0048641637185342325,-0.013352796696699887,0.01081370836197732,-0.006752569549642651,0.00252667851882471,2,1
language,raw,final_minus_early,P4,3,0.013817989623469806,0.017865363062522868,-0.03056203249425462,0.05819801174119423,-0.003579062852354209,0.03211745962857604,2,1
language,raw,final_minus_early,I,3,0.012548445456108523,0.019695246442052027,-0.036377258972809426,0.061474149885026474,-0.003161804323620121,0.03464413814740075,2,1
language,raw,final_minus_early,native_gap,3,-0.020429109175304976,0.011548436706729285,-0.049117016310252976,0.008258797959643027,-0.030225046027196,-0.0076955740012132345,0,3
language,raw,final_minus_early,gap_recovery,3,0.020429109175304976,0.011548436706729285,-0.008258797959643027,0.049117016310252976,0.0076955740012132345,0.030225046027196,3,0
language,raw,final_minus_early,gap_recovery_percent,3,8.63805827013371,4.883035689204953,-3.4920748332430787,20.768191373510497,3.2539263496110635,12.780082898377032,3,0
language,raw,final_minus_early,inference_T2_minus_T4_after_a2,3,-0.03424709879877478,0.0186377203004519,-0.08054576265818203,0.012051565060632478,-0.05548416712608173,-0.020611146095400823,0,3
language,raw,final_minus_early,inference_T2_minus_T4_after_a4,3,-0.021698653342666258,0.007715736672420169,-0.04086560578456021,-0.0025317009007723122,-0.029807787498461913,-0.014448143550855885,0,3
language,raw,final_minus_early,gain_a2_e2,3,0.10525807672330097,0.005120487763336338,0.09253807996784107,0.11797807347876087,0.09937558203689711,0.10871564483191909,3,0
language,raw,final_minus_early,gain_a2_e4,3,0.0710109779245262,0.01637539731306675,0.030332235914242056,0.11168971993481033,0.05219883617500498,0.0820696616570773,3,0
language,raw,final_minus_early,gain_a4_e2,3,0.10652762089066226,0.0016086700855111095,0.10253146286547948,0.11052377891584503,0.105156324782262,0.108298386303185,3,0
language,raw,final_minus_early,gain_a4_e4,3,0.084828967547996,0.006609633363778928,0.06840972804818958,0.10124820704780242,0.07849059880472309,0.09168000803568388,3,0
vision,bn_only,final_minus_early,P2,5,0.028072955763324758,0.0037111558541004855,0.023464947147565043,0.03268096437908447,0.024540263601724233,0.032731738820776846,5,0
vision,bn_only,final_minus_early,P4,5,0.011079093978930699,0.004936153838407826,0.00495004946818438,0.01720813848967702,0.003398633537729623,0.015511695711547535,5,0
vision,bn_only,final_minus_early,I,5,0.03915204974225546,0.0028067551850882297,0.03566700287715966,0.04263709660735126,0.03457200661509696,0.041708162074134636,5,0
vision,bn_only,final_minus_early,native_gap,5,-0.024606745252165572,0.0022955779517792392,-0.02745708174996019,-0.021756408754370956,-0.02778571206897018,-0.02208824249490271,0,5
vision,bn_only,final_minus_early,gap_recovery,5,0.024606745252165572,0.0022955779517792392,0.021756408754370956,0.02745708174996019,0.02208824249490271,0.02778571206897018,5,0
vision,bn_only,final_minus_early,gap_recovery_percent,5,9.942829336994508,0.9275724834961574,8.791095978512875,11.094562695476142,8.925179792383929,11.227352105184472,5,0
vision,bn_only,final_minus_early,inference_T2_minus_T4_after_a2,5,-0.03568583923109627,0.0034343970094419217,-0.03995020635325898,-0.03142147210893356,-0.039427529505029035,-0.031184345606699804,0,5
vision,bn_only,final_minus_early,inference_T2_minus_T4_after_a4,5,0.0034662105111591844,0.0028447059708708432,-6.595847834642721e-05,0.006998379500664796,0.0011615264754976096,0.008347047706041666,5,0
