id,task,state,updates,infer_T,calibration,engine,batch,split,checkpoint,identity_path,gpu,checkpoint_sha256,ce,accuracy,items,targets,seed,adapt_T
vision_s9623_K512_a2_e4_raw_eager,vision,adapted,512,4,raw,eager,4,test,/root/snn_revision_round2/models/formal/s9623_T2_lr2e-05/step512.pt,/root/snn_revision_round2/models/formal/s9623_T2_lr2e-05/step512.pt,0,660ed86374ad457d66995b5a7f851ce5df1a7359c8ed6ca6ea4b5f6a2e34cf12,1.4897161736313487,0.6356,10000,10000,9623.0,2.0
vision_s9623_K512_a4_e2_raw_eager,vision,adapted,512,2,raw,eager,4,test,/root/snn_revision_round2/models/formal/s9623_T4_lr5e-06/step512.pt,/root/snn_revision_round2/models/formal/s9623_T4_lr5e-06/step512.pt,0,fe9255f79dbe2d2b1d9b4c5eeb0a1bc6cf4acd79ffda3cbe3b64a91a4fc4eaf7,1.694703124467656,0.6105,10000,10000,9623.0,4.0
vision_s9623_K512_a4_e4_raw_eager,vision,adapted,512,4,raw,eager,4,test,/root/snn_revision_round2/models/formal/s9623_T4_lr5e-06/step512.pt,/root/snn_revision_round2/models/formal/s9623_T4_lr5e-06/step512.pt,0,fe9255f79dbe2d2b1d9b4c5eeb0a1bc6cf4acd79ffda3cbe3b64a91a4fc4eaf7,1.448275964939408,0.6563,10000,10000,9623.0,4.0
vision_s9624_K512_a2_e2_raw_eager,vision,adapted,512,2,raw,eager,4,test,/root/snn_revision_round2/models/formal/s9624_T2_lr2e-05/step512.pt,/root/snn_revision_round2/models/formal/s9624_T2_lr2e-05/step512.pt,1,04134b877ad51726ffe47009691e4f47196b744873e645fe553ee6337a0a0693,1.5069448292287067,0.6378,10000,10000,9624.0,2.0
vision_s9624_K512_a2_e4_raw_eager,vision,adapted,512,4,raw,eager,4,test,/root/snn_revision_round2/models/formal/s9624_T2_lr2e-05/step512.pt,/root/snn_revision_round2/models/formal/s9624_T2_lr2e-05/step512.pt,1,04134b877ad51726ffe47009691e4f47196b744873e645fe553ee6337a0a0693,1.4262108183624804,0.6488,10000,10000,9624.0,2.0
vision_s9624_K512_a4_e2_raw_eager,vision,adapted,512,2,raw,eager,4,test,/root/snn_revision_round2/models/formal/s9624_T4_lr5e-06/step512.pt,/root/snn_revision_round2/models/formal/s9624_T4_lr5e-06/step512.pt,1,0676efc02c5e0f99598dd0ca3a1c3f6d6c9136d831955bac05a52899023b8733,1.6646193820665591,0.6181,10000,10000,9624.0,4.0
vision_s9624_K512_a4_e4_raw_eager,vision,adapted,512,4,raw,eager,4,test,/root/snn_revision_round2/models/formal/s9624_T4_lr5e-06/step512.pt,/root/snn_revision_round2/models/formal/s9624_T4_lr5e-06/step512.pt,1,0676efc02c5e0f99598dd0ca3a1c3f6d6c9136d831955bac05a52899023b8733,1.409700416837493,0.6659,10000,10000,9624.0,4.0
vision_s9625_K512_a2_e2_raw_eager,vision,adapted,512,2,raw,eager,4,test,/root/snn_revision_round2/models/formal/s9625_T2_lr2e-05/step512.pt,/root/snn_revision_round2/models/formal/s9625_T2_lr2e-05/step512.pt,0,0a7ab59d6b90e42a5c64995f5d85e85a0f7efc691b9cf429f8be9143dcd4cfcc,1.479086036609835,0.6394,10000,10000,9625.0,2.0
vision_s9625_K512_a2_e4_raw_eager,vision,adapted,512,4,raw,eager,4,test,/root/snn_revision_round2/models/formal/s9625_T2_lr2e-05/step512.pt,/root/snn_revision_round2/models/formal/s9625_T2_lr2e-05/step512.pt,0,0a7ab59d6b90e42a5c64995f5d85e85a0f7efc691b9cf429f8be9143dcd4cfcc,1.3980746528000805,0.6518,10000,10000,9625.0,2.0
vision_s9625_K512_a4_e2_raw_eager,vision,adapted,512,2,raw,eager,4,test,/root/snn_revision_round2/models/formal/s9625_T4_lr5e-06/step512.pt,/root/snn_revision_round2/models/formal/s9625_T4_lr5e-06/step512.pt,0,c9f95d95f8da6b407d660deabc89145e205157f9294b611da942db6f50c83c47,1.6248974543687889,0.6205,10000,10000,9625.0,4.0
vision_s9625_K512_a4_e4_raw_eager,vision,adapted,512,4,raw,eager,4,test,/root/snn_revision_round2/models/formal/s9625_T4_lr5e-06/step512.pt,/root/snn_revision_round2/models/formal/s9625_T4_lr5e-06/step512.pt,0,c9f95d95f8da6b407d660deabc89145e205157f9294b611da942db6f50c83c47,1.3749401195404818,0.6669,10000,10000,9625.0,4.0
vision_s9621_K2048_a2_e2_raw_eager,vision,adapted,2048,2,raw,eager,4,test,/root/snn_revision_round2/models/formal/s9621_T2_lr2e-05/step2048.pt,/root/snn_revision_round2/models/formal/s9621_T2_lr2e-05/step2048.pt,0,75a7ce389b4ddd2609c9d5117f89114a6f9c8a32fd468f99aa49221673180f32,1.4923532110852655,0.6394,10000,10000,9621.0,2.0
vision_s9621_K2048_a2_e4_raw_eager,vision,adapted,2048,4,raw,eager,4,test,/root/snn_revision_round2/models/formal/s9621_T2_lr2e-05/step2048.pt,/root/snn_revision_round2/models/formal/s9621_T2_lr2e-05/step2048.pt,0,75a7ce389b4ddd2609c9d5117f89114a6f9c8a32fd468f99aa49221673180f32,1.413823946544563,0.6487,10000,10000,9621.0,2.0
vision_s9621_K2048_a4_e2_raw_eager,vision,adapted,2048,2,raw,eager,4,test,/root/snn_revision_round2/models/formal/s9621_T4_lr5e-06/step2048.pt,/root/snn_revision_round2/models/formal/s9621_T4_lr5e-06/step2048.pt,0,13035dc9a9631a424cb1eef9cfe9426fb42299b3d038295ece3b4d0baad36527,1.6509054890748114,0.6175,10000,10000,9621.0,4.0
vision_s9621_K2048_a4_e4_raw_eager,vision,adapted,2048,4,raw,eager,4,test,/root/snn_revision_round2/models/formal/s9621_T4_lr5e-06/step2048.pt,/root/snn_revision_round2/models/formal/s9621_T4_lr5e-06/step2048.pt,0,13035dc9a9631a424cb1eef9cfe9426fb42299b3d038295ece3b4d0baad36527,1.4056980814320268,0.6667,10000,10000,9621.0,4.0
