architecture,checkpoint,tag,T,batch,route,session,gpu,gpu_id,torch,cuda,copy_scope,warmup_capture_seconds,engine,round,repeat,wall_ms,cuda_ms,peak_allocated_gib,reserved_gib
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,graph,1,4,3.2404474914073944,3.224575996398926,0.4665842056274414,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,graph,1,5,3.245934844017029,3.229696035385132,0.4665842056274414,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,graph,1,6,3.2453685998916626,3.229696035385132,0.4665842056274414,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,graph,1,7,3.243725746870041,3.2276480197906494,0.4665842056274414,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,graph,1,8,3.250889480113983,3.233760118484497,0.4665842056274414,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,graph,1,9,3.240372985601425,3.224575996398926,0.4665842056274414,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager,1,0,21.40849456191063,21.37593650817871,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager,1,1,21.538637578487396,21.513216018676758,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager,1,2,21.542273461818695,21.51628875732422,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager,1,3,21.609961986541748,21.582944869995117,0.4752039909362793,0.62890625
