init_id,condition,infer_T,updates,contrast,n,mean,sd,low,high,positive,negative
B,raw,2,512,G_a2,3,0.09298140211018424,0.025961971601738017,0.028488289382915713,0.15747451483745278,3,0
B,raw,2,512,G_a4,3,-0.029955467140705627,0.014519214603270575,-0.06602319568168617,0.006112261400274918,0,3
B,raw,2,512,P,3,0.12293686925088987,0.011534304973806872,0.09428406728662682,0.15158967121515293,3,0
B,raw,2,512,accuracy_gain_a2_pp,3,1.4033333333333378,0.5851780355868939,-0.05032949295604183,2.8569961596227174,3,0
B,raw,2,512,accuracy_gain_a4_pp,3,-0.07666666666666193,0.33501243758006155,-0.9088836967646963,0.7555503634313725,1,2
B,raw,2,512,accuracy_target_minus_reuse_pp,3,1.4799999999999998,0.2505992817228337,0.8574768737347633,2.102523126265236,3,0
B,raw,2,1024,G_a2,3,0.10734776013784579,0.014712297909066311,0.07080038607542864,0.14389513420026295,3,0
B,raw,2,1024,G_a4,3,-0.028159995194167564,0.02528692406449697,-0.09097619687695142,0.034656206488616295,0,3
B,raw,2,1024,P,3,0.13550775533201334,0.010594854337275932,0.10918867812228465,0.16182683254174204,3,0
B,raw,2,1024,accuracy_gain_a2_pp,3,1.7400000000000044,0.1345362404707392,1.4057934514495303,2.0742065485504786,3,0
B,raw,2,1024,accuracy_gain_a4_pp,3,0.18000000000000607,0.4603259714593555,-0.9635131054002851,1.3235131054002973,2,1
B,raw,2,1024,accuracy_target_minus_reuse_pp,3,1.5599999999999985,0.3340658617697984,0.7301343945692694,2.3898656054307277,3,0
B,raw,2,2048,G_a2,3,0.11739677320459944,0.02399095819197292,0.057799929218894,0.17699361719030487,3,0
B,raw,2,2048,G_a4,3,-0.014471848986173633,0.01094345827028427,-0.04165690637235282,0.012713208400005558,0,3
B,raw,2,2048,P,3,0.13186862219077308,0.013119242550492394,0.09927861702149535,0.16445862736005082,3,0
B,raw,2,2048,accuracy_gain_a2_pp,3,2.1933333333333396,0.22188585654190485,1.64213830939357,2.744528357273109,3,0
B,raw,2,2048,accuracy_gain_a4_pp,3,0.2466666666666728,0.2857154761879939,-0.46308992256262627,0.9564232558959719,2,1
B,raw,2,2048,accuracy_target_minus_reuse_pp,3,1.946666666666667,0.23115651263447418,1.372442056314678,2.520891277018656,3,0
B,raw,4,512,G_a2,3,-0.049429836079988444,0.041447410954310364,-0.15239091268600458,0.05353124052602768,0,3
B,raw,4,512,G_a4,3,-0.035648364862225224,0.024497012048670812,-0.09650231631753059,0.02520558659308015,0,3
B,raw,4,512,P,3,0.013781471217763222,0.017040665899469672,-0.028549889576447253,0.056112832011973694,2,1
B,raw,4,512,accuracy_gain_a2_pp,3,-1.7499999999999958,0.7400000000000022,-3.5882619066952453,0.08826190669525391,0,3
B,raw,4,512,accuracy_gain_a4_pp,3,0.0033333333333329662,0.6115826463637875,-1.5159221823510174,1.5225888490176833,2,1
B,raw,4,512,accuracy_target_minus_reuse_pp,3,1.7533333333333292,0.2214347157365699,1.2032590052814016,2.3034076613852568,3,0
B,raw,4,1024,G_a2,3,-0.03982189830589141,0.01120791262547103,-0.06766389672882665,-0.011979899882956172,0,3
B,raw,4,1024,G_a4,3,-0.03233968723292143,0.013472525392487585,-0.06580729563291376,0.0011279211670708958,0,3
B,raw,4,1024,P,3,0.00748221107296998,0.00376499683147481,-0.0018705595407170986,0.016834981686657056,3,0
B,raw,4,1024,accuracy_gain_a2_pp,3,-1.476666666666663,0.24110855093366973,-2.075613510666467,-0.8777198226668588,0,3
B,raw,4,1024,accuracy_gain_a4_pp,3,-0.11333333333332825,0.31262330900516067,-0.8899326848052245,0.6632660181385679,1,2
B,raw,4,1024,accuracy_target_minus_reuse_pp,3,1.363333333333335,0.44736264186154195,0.2520229238568217,2.4746437428098487,3,0
B,raw,4,2048,G_a2,3,-0.03521520298596966,0.030159204313028393,-0.1101348197763467,0.039704413804407375,0,3
B,raw,4,2048,G_a4,3,-0.023439328957636157,0.01843879635997352,-0.0692438383547311,0.022365180439458784,0,3
B,raw,4,2048,P,3,0.011775874028333503,0.011838118307983142,-0.01763164209668943,0.04118339015335643,2,1
B,raw,4,2048,accuracy_gain_a2_pp,3,-1.1899999999999948,0.610000000000005,-2.7053240041677085,0.3253240041677188,0,3
B,raw,4,2048,accuracy_gain_a4_pp,3,0.22000000000000167,0.4942671342502961,-1.007827627869922,1.4478276278699256,1,2
B,raw,4,2048,accuracy_target_minus_reuse_pp,3,1.4099999999999966,0.2821347195933204,0.7091385032641246,2.1108614967358683,3,0
